image,power_mse_classic,power_mse_deep,cosine_power_classic,cosine_power_deep,cum_mse_classic,cum_mse_deep,low_mse_classic,mid_mse_classic,high_mse_classic,low_mse_deep,mid_mse_deep,high_mse_deep,dk50_classic,dk80_classic,dk50_deep,dk80_deep
157055,3.825978997175807e-11,1.3547656895731537e-11,0.9999999998739257,0.9999999992765777,4.227497219161541e-05,1.578123119145629e-05,3.8058895367645904e-10,2.274593349061056e-13,1.2249015257689561e-15,1.349494101311812e-10,1.7910198742727192e-14,1.0567543837752178e-15,0.0,0.0,0.0,0.0
159008,5.39779105412177e-10,1.5191422095835916e-09,0.9999999978107129,0.9999999320348673,0.0001713679256360761,2.972222430047049e-05,5.367935677105535e-09,3.740065197503183e-12,3.72765043485698e-15,1.513861919446236e-08,1.33824241559219e-13,2.9024489612352618e-15,0.0,-0.5430558029996218,0.0,-0.1117649335822044
160068,1.978030309727055e-10,1.9467485365018837e-12,0.9999999990226366,0.9999999998004955,0.00020636129451123106,5.923609791025851e-05,1.964647799618057e-09,2.1788941807116775e-12,4.2207335564617415e-15,1.8957996342989115e-11,1.4025809045498915e-13,3.639402302919545e-15,0.0,-0.2725070562927611,0.0,-0.1098352537049809
16077,1.1461814805090812e-10,9.79432879957673e-11,0.999999999542684,0.9999999938600685,7.089053389349752e-05,2.5148062097817442e-05,1.140347520347923e-09,6.23333811110803e-13,1.9572962567606894e-15,9.75865661395436e-10,5.986710182938074e-14,1.7303043320350142e-15,0.0,-0.23749038118911034,0.0,-0.08257643484506022
163085,1.058792271325295e-10,1.1722110371074883e-11,0.9999999994908966,0.9999999988939484,9.226691669272123e-05,3.6518812879410774e-05,1.052978499971884e-09,7.176763058867174e-13,1.6412994369289929e-15,1.1653852000443156e-10,8.970220180221686e-14,1.5623576831321458e-15,0.0,0.0,0.0,0.0
167062,4.223366034904723e-10,5.2935387921422875e-09,0.9999999770107211,0.9999994619516206,1.0234327109535517e-05,1.391778176601887e-06,4.207861655604621e-09,3.1263530027740907e-13,5.297970172961786e-16,5.2752836237583586e-08,4.623673748047032e-15,3.3592776337666874e-16,-0.014174095723784474,-0.021280391285930733,0.0021202317504082913,-0.0033871246656721476
167083,4.6073152514252755e-10,3.597142078474391e-10,0.9999999993515203,0.999999981867682,0.0015873730657713198,0.00101338614122412,4.576728912616072e-09,4.635818204392282e-12,1.3346566941778293e-13,3.58105169865331e-09,9.74464713376819e-13,1.2865323085332967e-13,0.0,-1.4527333333945294,0.0,-0.9201972837354029
170057,3.024457994189099e-11,8.022990219931976e-12,0.9999999997564817,0.999999999383184,3.053600699826615e-05,1.2615199870509878e-05,3.008819409436918e-10,1.7232054602081718e-13,6.710942519043393e-16,7.989718039823245e-11,1.7459700309363974e-14,6.217910389224235e-16,0.0,0.0,0.0,0.0
175032,2.2185636883542731e-10,2.579099283935737e-11,0.9999999997675104,0.9999999970340488,0.0015765155721853225,0.0010947277864428837,2.200147325114158e-09,3.4012685418784815e-12,9.478528009630329e-14,2.533699211562571e-10,1.0324642284118329e-12,9.325637502214383e-14,0.0,0.0,0.0,0.0
175043,1.2668783704359887e-10,1.1775418118061329e-12,0.9999999997723802,0.9999999999552427,0.0002752694394795213,0.00010295311502733815,1.2564579169745404e-09,2.007003926108892e-12,5.209138174042602e-15,1.1132498599079213e-11,1.910701856950835e-13,4.907081550047787e-15,0.0,0.0,0.0,0.0
182053,8.685986596429486e-11,1.325712942641646e-10,0.9999999995802427,0.9999999907916285,0.00017322897295863108,7.764459313300429e-05,8.632716836869685e-10,7.6279920321685e-13,7.319177586327324e-15,1.320842749343032e-09,8.730625398308363e-14,6.213138146807176e-15,0.0,0.0,0.0,0.0
189080,4.109119396289647e-11,2.8579524140201763e-12,0.9999999994997254,0.9999999997795583,6.218622263939943e-06,3.539525947940045e-07,4.0926642176287915e-10,7.612706105620405e-14,3.354558793420489e-17,2.8478545349461044e-11,7.68826702496789e-16,2.060810341371367e-17,0.0,-0.051432133562876875,0.0,-0.005422847423275173
19021,3.2050692582504324e-10,2.607665835919333e-11,0.9999999990626488,0.9999999987858497,0.0002853251448251582,9.490178509955423e-05,3.18634148627853e-09,2.5388971473116594e-12,9.967457293584444e-15,2.5937075829163074e-10,1.4834543801486562e-13,8.698936028942665e-15,0.0,-0.8218425712919611,0.0,-0.28676646187616006
196073,2.867929985193722e-12,5.247501930588387e-13,0.9999999999956395,0.9999999999984073,3.008798226252938e-05,2.4300030795630238e-05,2.84938714113177e-11,2.5332752123250546e-14,1.7764263004746744e-15,5.193361418456595e-12,8.535322353828615e-15,1.760183606943243e-15,0.0,0.0,0.0,0.0
197017,4.823955923720954e-11,5.4176697630413693e-11,0.9999999995305662,0.9999999967615588,3.1217799678882896e-05,1.3567576664229095e-05,4.802873214228174e-10,1.453960398991463e-13,1.4583695833468017e-15,5.398530289789832e-10,1.2751521422470925e-14,1.2697067202412188e-15,0.0,-0.04781712314435589,0.0,-0.04029351363065736
208001,1.4130975845562877e-10,1.701091306612577e-10,0.9999999993560138,0.9999999930558322,0.0001105716308348462,4.1061163234440354e-05,1.4058099786245348e-09,7.984387489972415e-13,3.2944324765813787e-15,1.6949164078429656e-09,9.75140150707913e-14,2.7861298771061756e-15,0.0,-0.6316235634696863,0.0,-0.21673116942523063
210088,8.21286126343949e-11,7.063582017998803e-14,0.9999999997239324,0.9999999999964998,4.06340025041695e-05,5.661398829179814e-07,8.166978081286536e-10,5.849796264560131e-13,2.2899606439081177e-16,6.998075011462349e-13,1.308651959889475e-15,3.1867223980198636e-17,0.0,0.0,0.0,0.0
21077,9.779066070152032e-11,3.446512241454687e-12,0.9999999996853074,0.9999999998025356,9.228817908301775e-05,2.446592212713154e-05,9.724626532060728e-10,6.858240457055289e-13,2.426086345560526e-15,3.422729187106669e-11,3.598576263148388e-14,1.859253560396762e-15,0.0,0.0,0.0,0.0
216081,4.110756965971414e-10,5.899550417364225e-10,0.9999999978076481,0.9999999711571191,0.0003194657216808473,0.0001259528898741855,4.0903616050708595e-09,2.0298856128164833e-12,2.2033179718665772e-14,5.8786713053123e-09,1.4151199427495498e-13,1.8765425990540057e-14,0.0,-0.6441752733906443,0.0,-0.25208864362434036
219090,9.347234416944818e-11,1.072381236089728e-11,0.9999999996831372,0.9999999994017559,0.00011841416851164377,4.9251563786942506e-05,9.296166856240979e-10,6.181529989780137e-13,4.90855190262174e-15,1.0666405919206033e-10,5.962716709712702e-14,4.281931241524753e-15,0.0,0.0,0.0,0.0
220075,4.996893274910828e-10,7.608101462083578e-11,0.9999999980744078,0.9999999936452236,0.0002539762989504362,5.008467392746326e-05,4.96915289141606e-09,3.4900086233512812e-12,6.692046330269698e-15,7.579149976659519e-10,7.999495936218301e-14,5.341401782466538e-15,0.0,-0.428002170104536,0.0,-0.11259859086442581
223061,3.4876883031054374e-11,3.4478438502553777e-10,0.9999999998635197,0.9999999754157313,0.00011531250352223112,6.41945033963558e-05,3.4652131843936407e-10,3.3450250849211074e-13,6.972291373369126e-15,3.43576926885211e-09,4.875448255562501e-14,6.6094592089837405e-15,0.0,0.0,0.0,0.0
227092,5.826046022750433e-12,2.823259072253322e-13,0.9999999999362613,0.9999999999947358,4.023493196918746e-06,1.471303162466632e-06,5.8004463093723594e-11,1.8151365900530058e-14,1.0872290501925182e-16,2.809094209783176e-12,1.2964455589497445e-15,9.106464720451442e-17,0.0,0.0,0.0,0.0
229036,2.0228891601107274e-10,2.9932003777740083e-10,0.999999999560601,0.9999999844848033,0.00042412803249066463,0.0001611765691524554,2.007940164668713e-09,2.6288417752463986e-12,1.4666961398104787e-14,2.982075638872452e-09,2.436196868100419e-13,1.2223707061051917e-14,0.0,0.0,0.0,0.0
236037,7.468698802140231e-11,1.1277369038348677e-11,0.9999999998706883,0.9999999987418852,0.0002127915732215647,0.00011862223512068195,7.41402566368904e-10,9.510524949491696e-13,6.5319726648564224e-15,1.117996980110675e-10,1.8240903691968327e-13,6.388235752630199e-15,0.0,0.0,0.0,0.0
24077,3.3240115068487113e-10,1.2621245575562876e-10,0.9999999974534078,0.99999998946325,0.00015494788862029085,1.6656203315940463e-05,3.303087958174701e-09,3.149667234681831e-12,2.0971396725708228e-15,1.2575769003880492e-09,6.268435699651517e-14,1.256160190442913e-15,0.0,-0.21625879691423044,0.0,-0.04448224154011182
241004,6.264096945622364e-12,1.3812261452901833e-10,0.9999999999633435,0.9999999894568612,3.941484313088782e-06,1.68625685751976e-06,6.234825259248076e-11,2.5259923828788313e-14,1.5741831098246622e-16,1.37645525494286e-09,2.396440653637645e-15,1.436765569953826e-16,0.0,-0.02666549474505356,0.0,-0.007652119941175761
241048,3.3269100302098524e-11,1.0991146511588715e-11,0.999999999864517,0.9999999994027272,4.560541473041756e-05,2.6765771980003785e-05,3.3100335203474863e-10,1.769456860363733e-13,1.6190159843090343e-15,1.0940249412188129e-10,4.020737360313934e-14,1.5752191728613034e-15,0.0,0.0,0.0,0.0
253027,1.321794382087169e-10,2.4604577497480618e-11,0.9999999998218045,0.9999999991727675,0.0007104112768384373,0.00028793751218021674,1.3089165215257535e-09,2.7330162070598236e-12,2.0384349152580208e-14,2.4405888576403187e-10,3.466402136255895e-13,1.6613436144868128e-14,0.0,0.0,0.0,0.0
