image,power_mse_classic,power_mse_deep,cosine_power_classic,cosine_power_deep,cum_mse_classic,cum_mse_deep,low_mse_classic,mid_mse_classic,high_mse_classic,low_mse_deep,mid_mse_deep,high_mse_deep,dk50_classic,dk80_classic,dk50_deep,dk80_deep
GakuenNoise,5.6765748437616474e-11,7.166466619886718e-11,0.9999999996683473,0.9999999948636507,0.00011192033359430912,4.33766600709039e-07,5.63394863227966e-10,1.0782076716844226e-13,1.4804455424467352e-17,7.116689840189148e-10,3.2363802920318144e-16,5.240413611439287e-19,0.0,-2.803937882382174,0.0,-0.023896335389133938
GarakutayaManta,3.716119527479727e-12,7.060007426665761e-14,0.9999999999867104,0.9999999999739245,4.617699352516016e-05,2.587050142083463e-06,3.686872292029923e-11,1.1553299326569343e-14,1.169585184646268e-17,7.006765765900221e-13,1.3474037298451263e-16,3.516686819358103e-18,0.0,0.0,0.0,0.0
GinNoChimera,4.565778704463143e-12,2.570863323310242e-13,0.9999999997390558,0.9999999999087499,5.80443707624747e-06,4.064644932026296e-08,4.533461132277142e-11,2.0545001141599646e-15,2.229605870907227e-19,2.552970420582888e-12,1.3332820494466187e-17,9.603810142482301e-21,0.0,0.0,0.0,0.0
Hamlet,3.538358010389989e-12,2.3604454791376357e-12,0.9999999995598682,0.9999999996527202,6.636755762718876e-05,1.0810439525079401e-06,3.507807384688542e-11,2.009269717980511e-14,1.1269287047928775e-17,2.3440147742066364e-11,1.2877298438068298e-16,7.540521191421086e-19,0.0,0.0,0.0,0.0
HanzaiKousyouninMinegishiEitarou,9.697364297715697e-12,1.7437727635731243e-13,0.9999999999443978,0.9999999999353913,4.2271311550022186e-05,5.89299893509887e-07,9.623735140498416e-11,2.1142215285719e-14,4.0598988758264195e-18,1.7314080747087594e-12,8.454123262173689e-17,6.527860560814542e-19,0.0,-0.7544892684815446,0.0,-0.030000485090399875
HaruichibanNoFukukoro,5.962180576635522e-12,3.3819484712121486e-12,0.999999999956534,0.999999999559361,1.6724076487120536e-05,1.3081387151496054e-08,5.916761798289113e-11,1.3505847491249537e-14,8.555209881499517e-19,3.3584595302643425e-11,1.071441146252881e-17,5.238695318352951e-21,0.0,-0.1551712362915738,0.0,-0.001750000241995897
HarukaRefrain,1.257964796979148e-12,5.2619199286649e-15,0.9999999999922358,0.9999999999972053,8.680923599094777e-06,5.851488501956745e-07,1.248451432322795e-11,2.613191043501329e-15,1.3450540045980387e-18,5.214109667716592e-14,3.667840938514926e-17,6.182429453513312e-19,0.0,0.0,0.0,0.0
HealingPlanet,4.003333853179121e-12,2.8487766693115814e-14,0.9999999999863838,0.9999999999902505,3.8965009138922865e-05,3.4977201648698105e-07,3.969487787885344e-11,2.0333692774232175e-14,2.5408672536977195e-18,2.827171246790916e-13,6.099019476500378e-17,1.595955117010253e-19,0.0,0.0,0.0,0.0
HeiseiJimen,3.936808187010214e-12,1.4806858376288378e-14,0.9999999999859756,0.9999999999936645,5.008372646028451e-05,2.5908149973883205e-06,3.9055625172896736e-11,1.312480094744036e-14,9.658553515228055e-18,1.4652810793909592e-13,1.6572607761251686e-16,3.3051086371896055e-18,0.0,0.0,0.0,0.0
HighschoolKimengumivol01,1.486288947099254e-11,1.8899037496847878e-13,0.9999999999576117,0.9999999999759475,0.00022598146286490305,2.8916346827465175e-06,1.4733546925531107e-10,8.786635161924228e-14,2.0528340530427346e-17,1.875079760890319e-12,5.690771724524291e-16,1.3850527169871021e-18,0.0,-0.32382440853333083,0.0,-0.06622213282041689
HighschoolKimengumivol20,8.625308162925548e-12,3.319641079884045e-13,0.9999999999730214,0.9999999998831908,0.00015343101967743756,6.485237706463296e-06,8.551804157991722e-11,4.571785211265349e-14,2.9725199940260297e-17,3.2945824719033622e-12,6.613707597541705e-16,6.696009435953529e-18,0.0,0.0,0.0,0.0
HinagikuKenzan,4.2821547732531277e-13,1.075341906952833e-14,0.9999999999974999,0.9999999999964093,5.19337505369013e-06,2.805167311542714e-07,4.248254935954269e-12,1.3989835910243207e-15,7.673138555217062e-19,1.0673031145897047e-13,1.880274291463847e-17,2.0659433513382165e-19,0.0,0.0,0.0,0.0
HisokaReturns,2.2833505912158434e-12,7.69304670520523e-12,0.9999999999909569,0.9999999990752353,4.4146900970236237e-05,4.04549369406581e-06,2.263794113321617e-11,1.2416245938764773e-14,1.596845014840998e-17,7.639572534454316e-11,1.5407570918478196e-16,7.47012340115188e-18,0.0,0.0,0.0,0.0
